Title,Code,Rating,Rating Count
Coupling,tt0237123,8.5,"45,789"
El Chavo del Ocho,tt0229889,8.5,"10,267"
The Venture Bros.,tt0417373,8.5,"26,087"
Spaced,tt0187664,8.5,"54,847"
Homicide: Life on the Street,tt0106028,8.5,"12,879"
Battlestar Galactica,tt0314979,8.5,"75,623"
Long Way Round,tt0403778,8.5,"14,251"
The Bureau,tt4063800,8.5,"11,797"
What We Do in the Shadows,tt7908628,8.5,"77,033"
The Family Man,tt9544034,8.5,"87,192"
Black Sun,tt6108262,8.5,"11,513"
"Yes, Prime Minister",tt0086831,8.5,"11,655"
The IT Crowd,tt0487831,8.5,"152,299"
Samurai Champloo,tt0423731,8.5,"49,017"
Louie,tt1492966,8.5,"79,142"
I'm Alan Partridge,tt0129690,8.5,"20,729"
The Office,tt0290978,8.5,"113,248"
House of the Dragon,tt11198330,8.5,"244,210"
Mr. Robot,tt4158110,8.5,"385,983"
Westworld,tt0475784,8.5,"502,190"
Through the Wormhole,tt1513168,8.5,"17,837"
Letterkenny,tt4647692,8.5,"23,030"
Whose Line Is It Anyway?,tt0163507,8.5,"43,819"
Shameless,tt1586680,8.5,"241,935"
Samurai Jack,tt0278238,8.5,"53,752"
Spartacus,tt1442449,8.5,"242,257"
Ezel,tt1534360,8.5,"33,014"
Brass Eye,tt0118273,8.5,"10,852"
Skam,tt5288312,8.5,"34,455"
Sons of Anarchy,tt1124373,8.5,"296,502"
North &amp; South,tt0417349,8.5,"32,808"
Doctor Who,tt0436992,8.5,"224,259"
Fullmetal Alchemist,tt0421357,8.5,"71,032"
Neon Genesis Evangelion,tt0112159,8.5,"69,754"
Extraordinary Attorney Woo,tt20869502,8.5,"12,102"
Endeavour,tt2701582,8.5,"26,492"
Silicon Valley,tt2575988,8.5,"149,566"
Trailer Park Boys,tt0290988,8.5,"44,117"
Mob Psycho 100,tt5897304,8.5,"31,492"
From the Earth to the Moon,tt0120570,8.5,"12,324"
Detectorists,tt4082744,8.5,"14,807"
Twin Peaks,tt4093826,8.5,"67,805"
Spartacus: Gods of the Arena,tt1758429,8.5,"137,984"
Jujutsu Kaisen,tt12343534,8.5,"59,897"
Rurouni Kenshin: Trust and Betrayal,tt0203082,8.5,"14,926"
Futurama,tt0149460,8.5,"237,522"
Cobra Kai,tt7221388,8.5,"184,031"
Umbre,tt4269716,8.5,"10,302"
Hannibal,tt2243973,8.5,"254,809"
Schitt's Creek,tt3526078,8.4,"120,523"
Community,tt1439629,8.4,"263,865"
The Expanse,tt3230854,8.4,"153,003"
Chef's Table,tt4295140,8.4,"15,684"
Generation Kill,tt0995832,8.4,"54,052"
Regular Show,tt1710308,8.4,"45,329"
The Angry Video Game Nerd,tt1230180,8.4,"15,236"
Mr Inbetween,tt7472896,8.4,"18,288"
The Night Of,tt2401256,8.4,"151,015"
My Brilliant Friend,tt7278862,8.4,"15,164"
Wentworth,tt2433738,8.4,"22,436"
Alfred Hitchcock Presents,tt0047708,8.4,"17,524"
Big Little Lies,tt3920596,8.4,"198,013"
The Great British Baking Show,tt1877368,8.4,"10,449"
Your Lie in April,tt3895150,8.4,"29,546"
The Knick,tt2937900,8.4,"48,920"
Southland,tt1299368,8.4,"26,947"
Content Cop,tt6111552,8.4,"12,657"
Avrupa Yakasi,tt0421291,8.4,"18,958"
Queer Eye,tt7259746,8.4,"19,106"
Black Books,tt0262150,8.4,"59,016"
John Adams,tt0472027,8.4,"33,433"
The Defiant Ones,tt6958022,8.4,"14,838"
X-Men: The Animated Series,tt0103584,8.4,"43,568"
Derry Girls,tt7120662,8.4,"41,019"
Garth Marenghi's Darkplace,tt0397150,8.4,"18,655"
Foyle's War,tt0310455,8.4,"15,688"
